Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.04231663253033423,0.06851769082359205,1.772130797238754e-05,9.541624790237145e-05,6.168666461683484e-07,2.798281649023178e-06,1.023419302582969e-07,9.351235287407783e-07,0.00010282174907226904,0.017808655700087352,2.042628344352991e-06,0.0003537818140231635,0.11556856789340339
0.2,1,3,0.2,0.002493152550936894,0.004119671824026838,3.8647779598241e-06,1.9625690754213054e-05,6.125301017810154e-08,2.754379691779802e-07,1.0201035555997053e-07,9.35106832846884e-07,0.00010282121546655742,0.017808563279947846,2.0426282847324233e-06,0.0003537818036969234,0.010871954601158642
0.2,1,5,0.2,0.000236741716642869,0.0004003875547979874,5.1537738015804414e-08,2.447002019545161e-07,5.083513259827191e-09,2.2635792428383344e-08,1.0205901489361075e-07,9.351097136857104e-07,0.00010282123913604724,0.01780856737948708,2.042628236201421e-06,0.0003537817952913875,0.0010390872160806726
0.2,1,7,0.2,3.2501194688459066e-05,5.335954091023609e-05,3.857154305609535e-08,2.1102335031296382e-07,3.70643817260193e-10,1.616600054857439e-09,1.0206676257956515e-07,9.35110136819241e-07,0.0001028212470364923,0.017808568747838694,2.0426282297775173e-06,0.00035378179417877174,0.00010171477767703693
0.2,1,9,0.2,1.0901864062554056e-06,1.953267748433518e-06,3.042053920138368e-09,1.6970770341101504e-08,2.8647147774752083e-11,1.19737363497548e-10,1.0206683324664318e-07,9.351101408703709e-07,0.00010282124739060907,0.017808568809171473,2.0426282293292963e-06,0.00035378179410114016,1.0296951535490174e-05
0.2,1,11,0.2,4.0935846859033983e-07,6.77229934353818e-07,1.6816783578002092e-10,7.389349340747309e-10,2.405224960024461e-12,9.516458435621274e-12,1.02066762198726e-07,9.351101262411181e-07,0.00010282124734411504,0.017808568801118738,2.0426282292979294e-06,0.00035378179409570744,1.065341588067505e-06
0.2,1,13,0.2,1.3206296941515998e-08,2.2746528216543993e-08,3.4960361299065047e-11,1.7542726472863368e-10,1.459667894443204e-13,5.576532752281718e-13,1.0206675653915112e-07,9.351101367869839e-07,0.00010282124733855695,0.017808568800156084,2.0426282292922873e-06,0.0003537817940947303,1.0808429047409621e-07
0.2,1,15,0.2,3.696250149716371e-09,5.7401692288294726e-09,2.782095436647502e-13,2.0977716091996612e-12,1.0022442292700986e-14,5.749394016429932e-14,1.0206675672424315e-07,9.351101332322824e-07,0.00010282124733867237,0.01780856880017607,2.0426282292912527e-06,0.0003537817940945511,1.0609245377185096e-08
0.2,1,17,0.2,3.793978709252675e-10,5.876152897599241e-10,3.4550703289830783e-13,1.675562466552094e-12,2.71122683499436e-15,1.462266180536631e-14,1.0206675676532438e-07,9.351101332330516e-07,0.00010282124733872583,0.01780856880018533,2.042628229291341e-06,0.00035378179409456637,1.0390707850958592e-09
0.25,2,1,0.25,0.013723740573963177,0.022099046601496752,6.582414084104676e-06,3.473595496566485e-05,1.909340766181482e-07,8.143663221712419e-07,1.0418604126741397e-07,9.352049643107374e-07,0.0001028291405994194,0.01780993590746867,2.0426955152387615e-06,0.0003537934479740411,0.03267947606912256
0.25,2,3,0.25,0.0007380609437937233,0.0012237545823321483,1.1254534628366814e-06,5.5154689037970744e-06,1.8857738030313405e-08,7.964923358870762e-08,1.0412860909880393e-07,9.352031370523841e-07,0.00010282900749007407,0.01780991285302229,2.042695492579986e-06,0.00035379344404955687,0.003346309661140115
0.25,2,5,0.25,7.785372295728916e-05,0.00014327233872535317,2.0729655277866293e-08,1.3915604299766238e-07,1.5206250406540937e-09,6.304292645076736e-09,1.0414821613208322e-07,9.35204289522138e-07,0.00010282901967953667,0.017809914964228766,2.0426954769660238e-06,0.0003537934413452294,0.0002989942868354339
0.25,2,7,0.25,7.286254381594069e-06,1.3406935330806391e-05,1.3316959464371815e-08,7.264195417064356e-08,1.099561826784117e-10,4.389183549762237e-10,1.041504551585574e-07,9.35204402964321e-07,0.0001028290220867283,0.017809915381152685,2.042695475121751e-06,0.00035379344102580266,2.9699431073701828e-05
0.25,2,9,0.25,7.74841244398023e-07,1.3110584866637964e-06,6.488298378316262e-10,3.782803218235764e-09,8.899429701857103e-12,3.39277189513338e-11,1.0415041123948195e-07,9.352043983040317e-07,0.00010282902213283808,0.01780991538913887,2.042695475007681e-06,0.0003537934410060458,2.718378300226434e-06
0.25,2,11,0.25,1.2267610727564561e-07,2.0116609356080062e-07,8.133518396376197e-11,3.60245189581776e-10,7.269790672293419e-13,2.689527040748013e-12,1.0415038750631963e-07,9.352044087516942e-07,0.00010282902211587069,0.017809915386200127,2.042695474997061e-06,0.0003537934410042064,2.9325691628791296e-07
0.25,2,13,0.25,2.701181352269081e-09,3.895452849178582e-09,7.618481119131068e-12,3.851144229904957e-11,3.767619163876711e-14,1.4298769958863422e-13,1.0415038637419184e-07,9.352044016205975e-07,0.00010282902211483705,0.017809915386021103,2.0426954749951183e-06,0.00035379344100386996,2.6703305803087355e-08
0.25,2,15,0.25,1.424040800043963e-09,2.2788633202708297e-09,5.769018781410889e-13,2.819419177291227e-12,6.2334753497964444e-15,3.470493207050063e-14,1.0415038645754446e-07,9.352044016212539e-07,0.00010282902211493499,0.01780991538603807,2.0426954749946007e-06,0.0003537934410037803,2.2941079203563245e-09
0.30000000000000004,3,1,0.30000000000000004,0.015930781388434324,0.025570289047042394,8.508535998999727e-06,4.3128060883378116e-05,2.1245326270986774e-07,8.78513243826888e-07,1.0634011123633863e-07,9.352955248233277e-07,0.00010283670393141961,0.01781124587133091,2.042762870502042e-06,0.00035380511385897466,0.03499709419832943
0.30000000000000004,3,3,0.30000000000000004,0.0006252147867462442,0.001052274284637278,1.139901019865612e-06,5.387348721780545e-06,2.056873086958448e-08,8.412052321949142e-08,1.0630613838826836e-07,9.352950578305003e-07,0.00010283659193221513,0.0178112264731463,2.0427628316389416e-06,0.0003538051071279126,0.0035301312475603595
0.30000000000000004,3,5,0.30000000000000004,0.00010710429718187874,0.00018958229273557947,5.707526398144445e-08,3.2731054574151874e-07,1.5693578921777293e-09,6.274054876787049e-09,1.0633034607435999e-07,9.352963572051584e-07,0.00010283660978660895,0.01781122956551494,2.0427628127846243e-06,0.00035380510386235796,0.0003044108310763249
0.30000000000000004,3,7,0.30000000000000004,5.113629625522576e-06,1.0200946395144683e-05,1.4757023191743748e-08,7.835930710201056e-08,1.1172219456747672e-10,4.268302443801754e-10,1.0633225910083833e-07,9.352964471686706e-07,0.00010283661205401363,0.01781122995822786,2.0427628109305895e-06,0.00035380510354124037,3.064066855312867e-05
0.30000000000000004,3,9,0.30000000000000004,1.2733385032117216e-06,2.094837549648787e-06,2.3246593433025245e-10,1.3181304710924158e-09,9.489062905635596e-12,3.4684678957078163e-11,1.0633212305383606e-07,9.352964338474783e-07,0.00010283661200862085,0.01781122995036586,2.042762810832137e-06,0.0003538051035241885,2.9850229498659984e-06
0.30000000000000004,3,11,0.30000000000000004,1.0062928129267107e-07,1.659668225073574e-07,1.1404252956520011e-10,5.219532358408108e-10,6.986074809496306e-13,2.508501971410209e-12,1.0633209908432516e-07,9.352964370958509e-07,0.00010283661198946127,0.017811229947047435,2.0427628108182306e-06,0.00035380510352177986,3.1226495451003146e-07
0.30000000000000004,3,13,0.30000000000000004,1.0402155389736136e-08,1.6606401587182518e-08,2.5743466426148106e-12,1.620969851401366e-11,3.9589161371931715e-14,1.865274970071218e-13,1.0633209895890766e-07,9.352964299780074e-07,0.00010283661198937972,0.01781122994703331,2.0427628108154227e-06,0.0003538051035212936,2.5665162230039673e-08
0.30000000000000004,3,15,0.30000000000000004,1.4579898423366202e-09,2.316260960810723e-09,1.1121565387449317e-12,5.088402789399371e-12,1.0167734222476492e-14,5.291511044440422e-14,1.0633209906156853e-07,9.352964299797901e-07,0.00010283661198949623,0.01781122994705349,2.042762810814868e-06,0.0003538051035211975,2.9761792890408964e-09
0.35000000000000003,4,1,0.35000000000000003,0.018627428794631244,0.029792941174301646,1.0951266252769082e-05,5.3347089852075896e-05,2.387275377113232e-07,9.549596315800693e-07,1.0858474522612728e-07,9.353832780256055e-07,0.00010284405024018779,0.017812518246919724,2.0428303430016917e-06,0.00035381680004916625,0.03777570002480428
0.35000000000000003,4,3,0.35000000000000003,0.00042553335140684933,0.0007453976866216294,1.07997657067571e-06,4.892989672202093e-06,2.2415983779982588e-08,8.854439646532918e-08,1.0858570038727344e-07,9.353845266660266e-07,0.00010284397164056417,0.017812504633519383,2.042830279914118e-06,0.00035381678912244216,0.0037173466770491037
0.35000000000000003,4,5,0.35000000000000003,0.00013751790916736867,0.00023798735816704664,1.0529368604232108e-07,5.561646621438099e-07,1.5986596131209604e-09,6.136683617914782e-09,1.086145189421507e-07,9.353859483681771e-07,0.00010284399538673512,0.017812508746339738,2.0428302574829156e-06,0.00035381678523737346,0.00030806580113570525
0.35000000000000003,4,7,0.35000000000000003,1.77162741656942e-06,3.932944999007759e-06,1.4307854019808262e-08,7.458174975868981e-08,1.1550149385438697e-10,4.207945797634217e-10,1.0861578268496717e-07,9.353860022539284e-07,0.0001028439971788854,0.017812509056738923,2.042830255745572e-06,0.00035381678493646675,2.9973986219705466e-05
0.35000000000000003,4,9,0.35000000000000003,1.7351579037496597e-06,2.81533704971082e-06,5.900659948986159e-10,2.1929896128203286e-09,1.0242447856753378e-11,3.5866377725321356e-11,1.0861555382532056e-07,9.353859870553437e-07,0.00010284399703480542,0.01781250903178437,2.0428302556575766e-06,0.000353816784921226,3.329764350945314e-06
