Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12292736417383039,0.201459643321936,0.00017843706107516406,0.0010315927350126926,8.878557799721862e-08,4.0093077766878925e-07,7.217710153411094e-05,0.0007203486315778287,0.0005170638323519065,0.016529876493017792,1.0841687486035455e-05,0.00034659503122642227,0.18246343004559598
0,0,2,0,0.018111426439646895,0.029446025026253153,2.1684418802931626e-05,0.00012239177414430716,2.356490402998424e-08,1.1364128523280595e-07,7.631619817366771e-05,0.0007289323058995798,0.0005177871819091193,0.01655300106312671,1.0841507123604667e-05,0.00034658926526771785,0.029883846017922697
0,0,3,0,0.002325320075787378,0.003779198971262332,2.748459411729331e-06,1.5411656767135365e-05,3.063921082171346e-09,1.4800628228106398e-08,7.581434497296613e-05,0.0007280061436166312,0.0005176978763995917,0.016550146078983023,1.0841530682919651e-05,0.0003465900184292089,0.003772066786518604
0,0,4,0,0.0002986859724159633,0.00048543530776967714,3.5085845767455287e-07,1.9651852779627166e-06,3.938113735255464e-10,1.902376829606171e-09,7.587768835584993e-05,0.000728121465823395,0.0005177092408940893,0.016550509387492914,1.0841527654724156e-05,0.0003465899216216304,0.0004855531503613204
0,0,5,0,3.8215970163717035e-05,6.210957015539975e-05,4.485539982744562e-08,2.5117662384895045e-07,5.039550633305232e-11,2.43448251412582e-10,7.586960322846657e-05,0.0007281067748954831,0.0005177077890752389,0.016550462974681216,1.0841528042252573e-05,0.0003465899340104236,6.210764170263792e-05
0,0,6,0,4.88815357241136e-06,7.944346581467698e-06,5.73613800901087e-09,3.2119139455749623e-08,6.446187659190027e-12,3.1139968940030113e-11,7.587063676515767e-05,0.0007281086521414026,0.0005177079747120272,0.016550468909254455,1.0841527992682963e-05,0.0003465899324257459,7.944378036953347e-06
0,0,7,0,6.251588829754225e-07,1.0160232051248386e-06,7.335831195265124e-10,4.107612512280201e-09,8.244250509822288e-13,3.982598159677636e-12,7.587050459701417e-05,0.0007281084120968038,0.0005177079509719468,0.016550468150314124,1.0841527999022583e-05,0.0003465899326284155,1.016022889563018e-06
0,0,8,0,7.995184613188297e-08,1.299396679144138e-07,9.3817538319973e-11,5.253193244986187e-10,1.0543594709287587e-13,5.093359815942083e-13,7.587052149970322e-05,0.000728108442792039,0.0005177079540080403,0.016550468247374193,1.0841527998211803e-05,0.00034658993260249595,1.2993947246518525e-07
0.0,1,1,0.0,1.7184737099538863e-05,2.539183155825242e-05,6.072625171760656e-09,2.432565211762938e-08,4.702158676865809e-09,7.552368199071111e-09,7.587063110944932e-05,0.0007281083197722925,0.0005177078961872488,0.016550466398916646,1.0841526904032881e-05,0.00034658989762296653,0.12358607920090538
0.0,1,2,0.0,3.4570944865660315e-06,5.15935548150992e-06,1.1511163294055074e-09,5.369862905030276e-09,5.080571735701634e-10,8.12885377283829e-10,7.587063089981263e-05,0.0007281083446788262,0.0005177078733059667,0.01655046566743101,1.0841526652548667e-05,0.0003465898895833341,0.01224712023036265
0.0,1,3,0.0,5.366332606848832e-07,9.013185628958809e-07,1.1399346897442258e-10,4.747874047042466e-10,5.463249354263624e-11,8.767855818771474e-11,7.587064688375064e-05,0.0007281083739101597,0.0005177078727724452,0.016550465650375004,1.0841526609107005e-05,0.0003465898881945591,0.001332661346477636
0.0,1,4,0.0,7.757513185610265e-08,1.3667930609528867e-07,9.114392235051653e-12,4.090036469228675e-11,5.888198845053476e-12,9.49155133101034e-12,7.587065045173959e-05,0.0007281083796511047,0.0005177078731388059,0.01655046566208709,1.0841526602576414e-05,0.0003465898879857843,0.0001464226471098747
0.0,1,5,0.0,1.0573160293566626e-08,1.88131945577652e-08,2.0556301402195512e-12,1.3066995402377657e-11,6.4247464919073e-13,1.030744892556947e-12,7.58706508562736e-05,0.0007281083801826502,0.0005177078732144159,0.016550465664504244,1.0841526601678108e-05,0.0003465898879570666,1.6105156340452827e-05
0.0,1,6,0.0,1.372412891253508e-09,2.431740142583294e-09,2.785938375550164e-13,1.7262406781792805e-12,7.166432863827997e-14,1.2390679845000752e-13,7.587065087357649e-05,0.0007281083801726422,0.0005177078732221344,0.016550465664750998,1.0841526601561814e-05,0.00034658988795334883,1.771671073348905e-06
0.0,1,7,0.0,1.730521231542774e-10,3.048086227863678e-10,2.2030916404206274e-14,1.2445426633700407e-13,8.215758733943771e-15,2.0028710677813533e-14,7.587065087078517e-05,0.0007281083801531567,0.0005177078732224293,0.016550465664760424,1.0841526601547362e-05,0.00034658988795288685,1.9490268524992433e-07
0.0,1,8,0.0,2.1350421637774392e-11,3.786126967497694e-11,1.3589155001663844e-15,5.064308347679791e-15,9.67268430979624e-16,2.9638563738693113e-15,7.587065087011096e-05,0.0007281083801566725,0.0005177078732223903,0.01655046566475918,1.0841526601545571e-05,0.0003465898879528296,2.144185670618542e-08
0.0,1,9,0.0,2.5947225925633474e-12,4.675371201301459e-12,2.148239716709524e-16,1.3270634591222574e-15,1.1625130354000222e-16,4.1335207826009857e-16,7.587065087000429e-05,0.0007281083801530916,0.0005177078732223818,0.016550465664758908,1.0841526601545402e-05,0.00034658988795282413,2.3588868500837116e-09
