Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0.0,1,1,0.0,3.586894822814863e-16,3.552713678800501e-15,0.0,0.0,3.557480050614964e-27,1.1372813603218407e-25,1.832407591547564e-15,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.004692532773787384
0.1,2,1,0.1,3.3946287524242314e-16,3.552713678800501e-15,0.0,0.0,3.0127887902651394e-27,9.63150456223311e-26,1.6635279345012384e-15,1.0658141036401503e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0042977177682556175
0.2,3,1,0.2,2.912451772125526e-16,1.7763568394002505e-15,0.0,0.0,2.519695170298429e-27,8.055146649038851e-26,1.5629603062138936e-15,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00385742451846429
0.30000000000000004,4,1,0.30000000000000004,2.568879798058601e-16,1.7763568394002505e-15,0.0,0.0,2.1069867070784062e-27,6.735769911041215e-26,1.4323695412914029e-15,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0034359194853336183
0.4,5,1,0.4,2.60851513420611e-16,1.7763568394002505e-15,0.0,0.0,1.7618737901938603e-27,5.632487581991339e-26,1.2859020393478233e-15,8.881784197001252e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0030388164412144822
0.5,6,1,0.5,2.1959776242588114e-16,1.7763568394002505e-15,0.0,0.0,1.4732884519761802e-27,4.7099167696535246e-26,1.0278647532220578e-15,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.002669814680851352
0.6000000000000001,7,1,0.6000000000000001,1.9424638933757112e-16,1.7763568394002505e-15,0.0,0.0,1.2319718212661637e-27,3.938458034432427e-26,8.692323061303932e-16,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.002331278466125616
0.7000000000000001,8,1,0.7000000000000001,1.6298031762720294e-16,1.7763568394002505e-15,0.0,0.0,1.0301815414036114e-27,3.29336004170542e-26,7.021808723265213e-16,3.552713678800501e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0020243135082682875
0.8,9,1,0.8,1.3710192344856528e-16,8.881784197001252e-16,0.0,0.0,8.614434112283107e-28,2.753925589526956e-26,5.782598196484439e-16,3.552713678800501e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0017489211480392873
0.9,10,1,0.9,1.2636959689782322e-16,8.881784197001252e-16,0.0,0.0,7.203436684932101e-28,2.3028475649823143e-26,5.584383116211067e-16,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0015042023222379835
1.0,11,1,1.0,8.981587147103068e-17,4.440892098500626e-16,0.0,0.0,6.023552957452857e-28,1.925653666065794e-26,3.388756712874324e-16,1.7763568394002505e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0012885792222649553
1.1,12,1,1.1,5.931490493361133e-17,2.220446049250313e-16,0.0,0.0,5.03692776354027e-28,1.610242075081119e-26,2.5745903904618357e-16,8.881784197001252e-16,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0011000093089191896
1.2000000000000002,13,1,1.2000000000000002,6.607756250354279e-17,4.440892098500626e-16,0.0,0.0,4.2119064071200795e-28,1.3464931862118963e-26,3.2067014056401214e-16,1.3322676295501878e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0009361748480084904
1.3,14,1,1.3,1.1041361845669236e-16,8.881784197001252e-16,0.0,0.0,3.522019059068324e-28,1.1259449300029826e-26,4.877807489328171e-16,2.6645352591003757e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0007946391850578193
1.4000000000000001,15,1,1.4000000000000001,1.0953365266023871e-16,8.881784197001252e-16,0.0,0.0,2.945131504221201e-28,9.415212779249161e-27,5.769563314986274e-16,2.6645352591003757e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0006729673829458067
1.5,16,1,1.5,1.7720048565076243e-16,1.7763568394002505e-15,0.0,0.0,2.4627349914031185e-28,7.873052164132223e-27,7.493906676963372e-16,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.000568813215479034
1.6,17,1,1.6,1.53497505846416e-16,1.7763568394002505e-15,0.0,0.0,2.0593524021553466e-28,6.583489065245558e-27,9.172975144670217e-16,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00047997699573159626
1.7000000000000002,18,1,1.7000000000000002,2.737915028839461e-16,1.7763568394002505e-15,0.0,0.0,1.7220416857953434e-28,5.505149384080726e-27,1.104331975453629e-15,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00040443973681076706
1.8,19,1,1.8,3.223131289993291e-16,1.7763568394002505e-15,0.0,0.0,1.439980629110977e-28,4.603435874304726e-27,1.3620287680530692e-15,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00034037916920101797
1.9000000000000001,20,1,1.9000000000000001,2.6587256000224027e-16,1.7763568394002505e-15,0.0,0.0,1.204119638519179e-28,3.849418130253772e-27,1.3903052126732946e-15,5.329070518200751e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00028617258931358335
2.0,21,1,2.0,3.5361543044567205e-16,3.552713678800501e-15,0.0,0.0,1.006891394617379e-28,3.2189043892708744e-27,1.5865203311268181e-15,7.105427357601002e-15,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00024039070050934928
2.1,22,1,2.1,3.2364213594977475e-16,3.552713678800501e-15,0.0,0.0,8.41968063739355e-29,2.6916653677692786e-27,1.7262879932661887e-15,1.0658141036401503e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0002017857368052458
2.2,23,1,2.2,4.0611253325498475e-16,3.552713678800501e-15,0.0,0.0,7.040582769369963e-29,2.2507852287248756e-27,1.9049701222651603e-15,1.0658141036401503e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.00016927634974952822
2.3000000000000003,24,1,2.3000000000000003,5.704937841994984e-16,3.552713678800501e-15,0.0,0.0,5.887373626999506e-29,1.8821188571611222e-27,2.3795698410952247e-15,1.4210854715202004e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.0001419310471491455
2.4000000000000004,25,1,2.4000000000000004,5.394255865435548e-16,3.552713678800501e-15,0.0,0.0,4.9230538663195113e-29,1.573838030956125e-27,2.314776773027285e-15,1.0658141036401503e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,0.000118951415052257
2.5,26,1,2.5,5.541230438274322e-16,3.552713678800501e-15,0.0,0.0,4.116684434555845e-29,1.3160519264016939e-27,2.6006591860416672e-15,1.4210854715202004e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,9.965592550416307e-05
2.6,27,1,2.6,5.807717699472354e-16,3.552713678800501e-15,0.0,0.0,3.442393927406717e-29,1.100489782886623e-27,2.6950137622048557e-15,1.0658141036401503e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,8.346481508075959e-05
2.7,28,1,2.7,5.702004934999664e-16,3.552713678800501e-15,0.0,0.0,2.8785485358012643e-29,9.20235545377856e-28,2.9309080896063964e-15,1.4210854715202004e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,6.988629247432312e-05
2.8000000000000003,29,1,2.8000000000000003,5.833997856649455e-16,3.552713678800501e-15,0.0,0.0,2.407057950862065e-29,7.69505971019203e-28,3.0374825927350424e-15,1.4210854715202004e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,5.850417740501651e-05
2.9000000000000004,30,1,2.9000000000000004,6.686731228923317e-16,7.105427357601002e-15,0.0,0.0,2.0127949578572936e-29,6.434650806615702e-28,3.122526834739931e-15,2.1316282072803006e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,4.896697027747374e-05
3.0,31,1,3.0,8.535711030778073e-16,7.105427357601002e-15,0.0,0.0,1.683110097505045e-29,5.380690022228151e-28,3.566393631293265e-15,2.1316282072803006e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,4.0978287858910116e-05
3.1,32,1,3.1,6.849065946255623e-16,7.105427357601002e-15,0.0,0.0,1.4074258231147104e-29,4.499362278608673e-28,3.101185190786158e-15,1.4210854715202004e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,3.4288563493817926e-05
3.2,33,1,3.2,7.858439160398969e-16,7.105427357601002e-15,0.0,0.0,1.176897132579992e-29,3.7623912231582957e-28,3.623719862601357e-15,2.1316282072803006e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,2.868789240161151e-05
3.3000000000000003,34,1,3.3000000000000003,9.146315770945747e-16,7.105427357601002e-15,0.0,0.0,9.841277870046018e-30,3.146132015952248e-28,3.845453102004952e-15,2.1316282072803006e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,2.399989709804306e-05
3.4000000000000004,35,1,3.4000000000000004,1.2523477678608202e-15,7.105427357601002e-15,0.0,0.0,8.229330111727034e-30,2.6308127131688485e-28,4.746899424603852e-15,2.842170943040401e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,2.007649039042675e-05
3.5,36,1,3.5,9.53902797493635e-16,7.105427357601002e-15,0.0,0.0,6.881410623909233e-30,2.1998999077843875e-28,4.109408033790663e-15,2.1316282072803006e-14,3.4236686810629254e-12,4.707446906926986e-12,3.4236686810629254e-12,4.707446906926986e-12,1.6793420528519837e-05
